University,Name,Department,Rank,Sex,Title,Pronouns,URL
Columbia,Donald Lehmann,Marketing Division,Emeritus,Male,George E. Warren Professor Emeritus of Business,"['his', 'he', 'he', 'he']",https://business.columbia.edu/faculty/people/donald-lehmann
Columbia,Don Sexton,Marketing Division,Emeritus,Male,Professor Emeritus of Business,['his'],https://business.columbia.edu/faculty/people/don-sexton
Columbia,Tim Baldenius,Accounting Division,Full,Male,Paul M. Montrone Professor of Private Enterprise in the Faculty of Business,"['he', 'his', 'his', 'he', 'he', 'he', 'he', 'he', 'his', 'his']",https://business.columbia.edu/faculty/people/tim-baldenius
Columbia,Thomas Bourveau,Accounting Division,Associate,Male,Associate Professor of Business,"['he', 'he', 'he', 'his', 'he']",https://business.columbia.edu/faculty/people/thomas-bourveau
Columbia,Matthias Breuer,Accounting Division,Associate,Male,Associate Professor of Business,"['his', 'he', 'his', 'he', 'his', 'he', 'his', 'he']",https://business.columbia.edu/faculty/people/matthias-breuer
Columbia,Wei Cai,Accounting Division,Assistant,Female,Assistant Professor of Business,"['her', 'her', 'she', 'she', 'she', 'her', 'her', 'she']",https://business.columbia.edu/faculty/people/wei-cai
Columbia,Jonathan Glover,Accounting Division,Full,Male,James L. Dohr Professor of Accounting,"['his', 'he', 'he', 'he', 'he', 'he']",https://business.columbia.edu/faculty/people/jonathan-glover
Columbia,Anne Heinrichs,Accounting Division,Assistant,Female,Assistant Professor,"['she', 'she', 'her', 'she', 'her', 'she']",https://business.columbia.edu/faculty/people/anne-heinrichs
Columbia,Kalash Jain,Accounting Division,Assistant,Male,Assistant Professor of Business,"['his', 'he', 'his', 'his', 'he']",https://business.columbia.edu/faculty/people/kalash-jain
Columbia,Sehwa Kim,Accounting Division,Assistant,Male,Assistant Professor,"['his', 'his', 'he', 'his', 'he']",https://business.columbia.edu/faculty/people/sehwa-kim
Columbia,Lisa Liu,Accounting Division,Assistant,Female,Assistant Professor of Business,"['her', 'her', 'she']",https://business.columbia.edu/faculty/people/lisa-liu
Columbia,Doron Nissim,Accounting Division,Full,Male,Ernst & Young Professor of Accounting & Finance,"['his', 'he', 'he', 'his', 'he', 'he', 'his']",https://business.columbia.edu/faculty/people/doron-nissim
Columbia,Stephen Penman,Accounting Division,Emeritus,Male,George O. May Professor Emeritus of Financial Accounting in the Faculty of Business,"['he', 'his', 'he', 'he', 'he', 'he', 'his', 'his', 'he', 'his', 'he', 'he', 'he', 'he', 'his', 'he', 'he', 'he']",https://business.columbia.edu/faculty/people/stephen-penman
Columbia,Shivaram Rajgopal,Accounting Division,Full,Male,Roy Bernard Kester and T.W. Byrnes Professor of Accounting and Auditing; Chair of the Accounting Division,"['he', 'his', 'he', 'he', 'he', 'he']",https://business.columbia.edu/faculty/people/shivaram-rajgopal
Columbia,Syrena Shirley,Accounting Division,Assistant,Female,Assistant Professor of Business,[],https://business.columbia.edu/faculty/people/syrena-shirley
Columbia,Sang Wu,Accounting Division,Assistant,Female,Assistant Professor of Business,"['her', 'she', 'her', 'her', 'she', 'she']",https://business.columbia.edu/faculty/people/sang-wu
Columbia,Boaz Abramson,Finance Division,Assistant,Male,Assistant Professor of Business,"['he', 'his', 'his', 'he', 'his']",https://business.columbia.edu/faculty/people/boaz-abramson
Columbia,Enrique Arzac,Finance Division,Emeritus,Male,Professor Emeritus,"['he', 'he', 'his', 'he']",https://business.columbia.edu/faculty/people/enrique-arzac
Columbia,Tania Babina,Finance Division,Assistant,Female,Assistant Professor of Business,"['she', 'her', 'she', 'her', 'she']",https://business.columbia.edu/faculty/people/tania-babina
Columbia,Geert Bekaert,Finance Division,Full,Male,Professor of Business,"['his', 'he', 'he']",https://business.columbia.edu/faculty/people/geert-bekaert
Columbia,Patrick Bolton,Finance Division,Emeritus,Male,Barbara and David Zalaznick Professor Emeritus of Business and Professor Emeritus of Economics,"['he', 'he', 'his', 'he', 'his', 'he', 'his', 'his', 'his', 'he', 'his']",https://business.columbia.edu/faculty/people/patrick-bolton
Columbia,Kent Daniel,Finance Division,Full,Male,Jean-Marie Eveillard/First Eagle Investment Management Professor of Business,"['he', 'he', 'he', 'he', 'his', 'his', 'he', 'he', 'he', 'his']",https://business.columbia.edu/faculty/people/kent-daniel
Columbia,Olivier Darmouni,Finance Division,Associate,Male,Associate Professor of Business,['he'],https://business.columbia.edu/faculty/people/olivier-darmouni
Columbia,Wenxin Du,Finance Division,Full,Female,Henry Kaufman Professor of Financial Institutions,"['she', 'she', 'she', 'her', 'her', 'she', 'she', 'she', 'she', 'she']",https://business.columbia.edu/faculty/people/wenxin-du
Columbia,Michael Ewens,Finance Division,Full,Male,David L. and Elsie M. Dodd Professor of Finance,"['he', 'he', 'he', 'his', 'he', 'he', 'he']",https://business.columbia.edu/faculty/people/michael-ewens
Columbia,Xavier Giroud,Finance Division,Full,Male,Stefan H. Robock Professor of Finance and Economics,"['he', 'his', 'his', 'he']",https://business.columbia.edu/faculty/people/xavier-giroud
Columbia,Lawrence Glosten,Finance Division,Emeritus,Male,S. Sloan Colt Professor Emeritus of Banking and International Finance in the Faculty of Business,"['he', 'he', 'he', 'he', 'his', 'he', 'he', 'he', 'his', 'his']",https://business.columbia.edu/faculty/people/lawrence-glosten
Columbia,Laurie Simon Hodrick,Finance Division,Emeritus,Female,A. Barton Hepburn Professor Emerita of Economics in the Faculty of Business,"['her', 'she', 'her', 'she', 'she', 'she', 'she', 'she', 'she', 'she', 'she', 'she', 'she', 'she', 'she', 'she', 'she', 'she', 'she', 'she', 'she']",https://business.columbia.edu/faculty/people/laurie-simon-hodrick
Columbia,Robert Hodrick,Finance Division,Emeritus,Male,Nomura Professor Emeritus of International Finance,"['his', 'his', 'he']",https://business.columbia.edu/faculty/people/robert-hodrick
Columbia,Gur Huberman,Finance Division,Full,Male,Robert G. Kirby Professor of Behavioral Finance,"['he', 'he', 'he', 'he', 'he', 'his', 'his', 'he', 'he', 'his', 'his', 'he']",https://business.columbia.edu/faculty/people/gur-huberman
Columbia,Michael Johannes,Finance Division,Full,Male,Ann F. Kaplan Professor of Business; Chair of Finance Division,['he'],https://business.columbia.edu/faculty/people/michael-johannes
Columbia,Jane (Jian) Li,Finance Division,Assistant,Female,Assistant Professor of Business,"['she', 'her', 'she', 'her']",https://business.columbia.edu/faculty/people/jane-jian-li
Columbia,Xuelin Li,Finance Division,Assistant,Male,Assistant Professor of Business,[],https://business.columbia.edu/faculty/people/xuelin-li
Columbia,Yiming Ma,Finance Division,Associate,Female,Associate Professor of Business,"['she', 'her', 'her', 'she', 'her', 'her']",https://business.columbia.edu/faculty/people/yiming-ma
Columbia,Christopher Mayer,Finance Division,Full,Male,Paul Milstein Professor of Real Estate,"['his', 'his', 'he']",https://business.columbia.edu/faculty/people/christopher-mayer
Columbia,Bruno Pellegrino,Finance Division,Assistant,Unknown,Assistant Professor of Business,[],https://business.columbia.edu/faculty/people/bruno-pellegrino
Columbia,Tomasz Piskorski,Finance Division,Full,Male,Edward S. Gordon Professor of Real Estate,"['he', 'his', 'his', 'he']",https://business.columbia.edu/faculty/people/tomasz-piskorski
Columbia,Lynne Sagalyn,Finance Division,Emeritus,Female,Earle W. Kazis and Benjamin Schore Professor Emerita of Real Estate,"['she', 'she', 'her', 'her', 'her', 'she', 'she', 'she', 'she', 'she', 'she', 'her', 'she', 'her']",https://business.columbia.edu/staff/people/lynne-sagalyn
Columbia,Tano Santos,Finance Division,Full,Male,Robert Heilbrunn Professor of Asset Management and Finance,"['he', 'he', 'he', 'he', 'his']",https://business.columbia.edu/faculty/people/tano-santos
Columbia,Parinitha Sastry,Finance Division,Assistant,Female,Assistant Professor of Business,"['her', 'she', 'her', 'her', 'she']",https://business.columbia.edu/faculty/people/parinitha-sastry
Columbia,Jesse Schreger,Economics Division,Associate,Male,Associate Professor of Business,"['his', 'his', 'he', 'his', 'his']",https://business.columbia.edu/faculty/people/jesse-schreger
Columbia,M. Suresh Sundaresan,Finance Division,Full,Male,Robert W. Lear Professor of Finance and Economics,"['he', 'his', 'he', 'he', 'his', 'he', 'he', 'his', 'he', 'he', 'he', 'he', 'his', 'he', 'he', 'he']",https://business.columbia.edu/faculty/people/m-suresh-sundaresan
Columbia,Dominik Supera,Finance Division,Assistant,Male,Assistant Professor of Business,"['he', 'his', 'his', 'his', 'he', 'he', 'his']",https://business.columbia.edu/faculty/people/dominik-supera
Columbia,Paul Tetlock,Finance Division,Full,Male,A. Barton Hepburn Professor of Economics in the Faculty of Business,"['his', 'his', 'his', 'he', 'he']",https://business.columbia.edu/faculty/people/paul-tetlock
Columbia,Stijn Van Nieuwerburgh,Finance Division,Full,Male,Earle W. Kazis and Benjamin Schore Professor of Real Estate,"['he', 'his', 'his', 'he', 'he', 'he', 'he', 'his']",https://business.columbia.edu/faculty/people/stijn-van-nieuwerburgh
Columbia,Laura Veldkamp,Finance Division,Full,Female,Leon G. Cooperman Professor of Finance & Economics,"['she', 'she', 'she', 'her']",https://business.columbia.edu/faculty/people/laura-veldkamp
Columbia,Neng Wang,Finance Division,Full,Male,Chong Khoon Lin Professor of Real Estate,"['he', 'he', 'he', 'he', 'his', 'he', 'he', 'he']",https://business.columbia.edu/faculty/people/neng-wang
Columbia,Daniel Wolfenzon,Finance Division,Full,Male,Nomura Professor of International Finance,"['he', 'he', 'his', 'he', 'his', 'he', 'his']",https://business.columbia.edu/faculty/people/daniel-wolfenzon
Columbia,Kairong Xiao,Finance Division,Associate,Male,Roger F. Murray Associate Professor of Business,"['his', 'his', 'he']",https://business.columbia.edu/faculty/people/kairong-xiao
Columbia,Ann Bartel,Economics Division,Full,Female,Merrill Lynch Professor of Workforce Transformation,"['she', 'she', 'she']",https://business.columbia.edu/faculty/people/ann-bartel
Columbia,Laura Boudreau,Economics Division,Assistant,Female,Assistant Professor of Business,"['her', 'her', 'she']",https://business.columbia.edu/faculty/people/laura-boudreau
Columbia,Abby Cohen,Economics Division,Full,Female,Professor of Business,[],https://business.columbia.edu/faculty/people/abby-cohen
Columbia,Wouter Dessein,Economics Division,Full,Male,Eli Ginzberg Professor of Finance and Economics,"['he', 'he', 'his', 'he', 'he']",https://business.columbia.edu/faculty/people/wouter-dessein
Columbia,John Donaldson,Economics Division,Full,Male,Mario J. Gabelli Professor of Finance,"['he', 'his']",https://business.columbia.edu/faculty/people/john-donaldson
Columbia,Laura Doval,Economics Division,Associate,Female,Daniel W. Stanton Associate Professor of Business,"['she', 'her', 'her', 'she']",https://business.columbia.edu/faculty/people/laura-doval
Columbia,Franklin Edwards,Economics Division,Emeritus,Male,Arthur F. Burns Professor Emeritus of Free and Competitive Enterprise,"['he', 'his', 'he', 'his']",https://business.columbia.edu/faculty/people/franklin-edwards
Columbia,Geoffrey Heal,Economics Division,Full,Male,Donald C. Waite III Professor of Social Enterprise,"['he', 'he', 'he', 'he', 'he', 'he', 'he']",https://business.columbia.edu/faculty/people/geoffrey-heal
Columbia,R. Glenn Hubbard,Economics Division,Emeritus,Male,Dean Emeritus; Russell L. Carson Professor of Finance and Economics,"['he', 'his', 'he']",https://business.columbia.edu/faculty/people/r-glenn-hubbard
Columbia,Nathaniel Leff,Economics Division,Emeritus,Male,Faculty Emeritus,[],https://business.columbia.edu/faculty/people/nathaniel-leff
Columbia,Frank Lichtenberg,Economics Division,Full,Male,Cain Brothers & Company Professor of Healthcare Management in the Faculty of Business,"['he', 'he', 'he', 'he', 'his', 'his', 'he', 'his', 'he', 'he', 'he']",https://business.columbia.edu/faculty/people/frank-lichtenberg
Columbia,Kristina Manysheva,Economics Division,Assistant,Female,Assistant Professor of Business,[],https://business.columbia.edu/faculty/people/kristina-manysheva
Columbia,Frederic Mishkin,Economics Division,Full,Male,Alfred Lerner Professor of Banking and Financial Institutions,"['he', 'he', 'his', 'he', 'he', 'he', 'he', 'he', 'he', 'he', 'he']",https://business.columbia.edu/faculty/people/frederic-mishkin
Columbia,Christian Moser,Economics Division,Assistant,Male,Assistant Professor of Business,"['his', 'his', 'he', 'he']",https://business.columbia.edu/faculty/people/christian-moser
Columbia,Eli Noam,Economics Division,Emeritus,Male,Emeritus,[],https://business.columbia.edu/faculty/people/eli-noam
Columbia,Cristóbal Otero,Economics Division,Assistant,Male,Assistant Professor of Business,"['he', 'his', 'his']",https://business.columbia.edu/faculty/people/cristobal-otero-ruiz-tagle
Columbia,Jacopo Perego,Economics Division,Associate,Male,Class of 1967 Associate Professor of Business,"['his', 'his', 'he', 'his']",https://business.columbia.edu/faculty/people/jacopo-perego
Columbia,Tommaso Porzio,Economics Division,Associate,Male,Associate Professor of Business,"['his', 'his', 'he', 'his', 'his']",https://business.columbia.edu/faculty/people/tommaso-porzio
Columbia,Andrea Prat,Economics Division,Full,Male,Richard Paul Richman Professor of Business,"['his', 'he', 'he', 'his', 'his', 'he', 'he', 'he']",https://business.columbia.edu/faculty/people/andrea-prat
Columbia,Jonah Rockoff,Economics Division,Full,Male,Paul Garrett Professor of Public Policy and Business Responsibility,"['his', 'he', 'his']",https://business.columbia.edu/faculty/people/jonah-rockoff
Columbia,Larry Selden,Economics Division,Emeritus,Male,Professor Emeritus of Business,"['his', 'he', 'his']",https://business.columbia.edu/faculty/people/larry-selden
Columbia,Nachum Sicherman,Economics Division,Full,Male,Carson Family Professor of Business; Chair of Economics Division,"['he', 'he']",https://business.columbia.edu/faculty/people/nachum-sicherman
Columbia,Paolo Siconolfi,Economics Division,Full,Male,Franklin Pitcher Johnson Jr. Professor of Finance and Economics,"['he', 'his', 'he']",https://business.columbia.edu/faculty/people/paolo-siconolfi
Columbia,Joseph Stiglitz,Economics Division,Full,Male,Professor,"['he', 'he', 'he', 'he', 'he', 'he', 'he', 'he', 'he']",https://business.columbia.edu/faculty/people/joseph-stiglitz
Columbia,Conor Walsh,Economics Division,Assistant,Male,Assistant Professor of Business,[],https://business.columbia.edu/faculty/people/conor-walsh
Columbia,Shang-Jin Wei,Economics Division,Full,Male,N T  Wang Professor of Chinese Business and Economy,"['he', 'his', 'he', 'he', 'he', 'he', 'he', 'he', 'his']",https://business.columbia.edu/faculty/people/shang-jin-wei
Columbia,Maurice Wilkinson,Economics Division,Emeritus,Male,Faculty Emeriti,"['he', 'his', 'he']",https://business.columbia.edu/faculty/people/maurice-wilkinson
Columbia,Pierre Yared,Economics Division,Full,Male,MUTB Professor of International Business,"['his', 'he', 'he', 'he', 'his', 'his']",https://business.columbia.edu/faculty/people/pierre-yared
Columbia,Stephen Zeldes,Economics Division,Full,Male,Frank R. Lautenberg Professor of Economics and Public Policy,"['he', 'he', 'his', 'his', 'he', 'he', 'he', 'he', 'his', 'his']",https://business.columbia.edu/faculty/people/stephen-zeldes
